iter	RMSE
0	26.13896714
1	25.20942404
2	24.33074707
3	23.51910465
4	22.75493547
5	22.03941593
6	21.36656923
7	20.73786284
8	20.15834422
9	19.61830803
10	19.11153406
11	18.63640397
12	18.20076451
13	17.79652264
14	17.4259939
15	17.07715364
16	16.75694096
17	16.46267531
18	16.19204415
19	15.94152805
20	15.71323425
21	15.49990553
22	15.30564233
23	15.12823815
24	14.96477412
25	14.81271304
26	14.67536089
27	14.54677728
28	14.4318099
29	14.32775233
30	14.23060187
31	14.1413568
32	14.06015038
33	13.98432091
34	13.91632869
35	13.85364062
36	13.79700221
37	13.74487578
38	13.69780671
39	13.65347981
40	13.61393349
41	13.57851608
42	13.54583254
43	13.51595702
44	13.48916865
45	13.46449483
46	13.44240165
47	13.42108651
48	13.40276906
49	13.38567787
50	13.36954439
51	13.35518514
52	13.34170401
53	13.32950914
54	13.31854543
55	13.30829194
56	13.29926997
57	13.29099759
58	13.28324601
59	13.27607054
60	13.26942364
61	13.26325045
62	13.25786816
63	13.25258541
64	13.2478185
65	13.24330307
66	13.23912938
67	13.23513199
68	13.23168954
69	13.22833795
70	13.22545868
71	13.22259783
72	13.21985153
73	13.21777599
74	13.21532654
75	13.21317811
76	13.2114376
77	13.20958405
78	13.20763988
79	13.20596083
80	13.20433849
81	13.20280319
82	13.20152929
83	13.20012948
84	13.19884446
85	13.19662621
86	13.19469944
87	13.19356462
88	13.19242399
89	13.19147014
90	13.18977784
91	13.18872204
92	13.18773457
93	13.18635492
94	13.18537392
95	13.18442381
96	13.18292599
97	13.18204069
98	13.18134542
99	13.18056911
100	13.17973813
101	13.17907452
102	13.17861332
103	13.17782494
104	13.17714401
105	13.17635532
106	13.17567766
107	13.17501662
108	13.17425462
109	13.17358245
110	13.17279065
111	13.1719509
112	13.17134241
113	13.17042749
114	13.16986352
115	13.16938286
116	13.16894392
117	13.1684312
118	13.16791331
119	13.16738382
120	13.16683115
121	13.16614619
122	13.16558858
123	13.1651991
124	13.16457755
125	13.16411387
126	13.16362319
127	13.16313112
128	13.16258079
129	13.16176958
130	13.16143778
131	13.16101444
132	13.1606517
133	13.16016244
134	13.1594068
135	13.15886512
136	13.15818727
137	13.15762336
138	13.15691635
139	13.15653774
140	13.15607749
141	13.15546497
142	13.15502028
143	13.15453595
144	13.15386732
145	13.15335849
146	13.15292401
147	13.15251298
148	13.15205159
149	13.15164806
150	13.15116784
151	13.15077417
152	13.15038435
153	13.15009834
154	13.14973214
155	13.14930353
156	13.14887443
157	13.1485225
158	13.14766359
159	13.14715925
160	13.14642611
161	13.1460353
162	13.14570507
163	13.1453874
164	13.1449104
165	13.14466457
166	13.14433757
167	13.14369332
168	13.14319168
169	13.14286603
170	13.142512
171	13.14230884
172	13.14194372
173	13.1417051
174	13.14133191
175	13.14085191
176	13.14067872
177	13.14033609
178	13.13998953
179	13.139631
180	13.13925502
181	13.13900674
182	13.1386153
183	13.13802531
184	13.13752429
185	13.1372106
186	13.13682918
187	13.13659903
188	13.13623506
189	13.13591011
190	13.135666
191	13.13544183
192	13.13527882
193	13.13485972
194	13.13458564
195	13.13433233
196	13.13406373
197	13.13373247
198	13.13359227
199	13.13324476
200	13.13294697
201	13.1325822
202	13.1323117
203	13.13200254
204	13.1317118
205	13.1314683
206	13.13122127
207	13.13085802
208	13.13066293
209	13.13046224
210	13.13018442
211	13.12989437
212	13.12964405
213	13.12950448
214	13.12924432
215	13.12889001
216	13.12854709
217	13.12777672
218	13.12764342
219	13.1271803
220	13.12688854
221	13.12655126
222	13.12628768
223	13.12612254
224	13.12591804
225	13.12561256
226	13.12529357
227	13.12473215
228	13.1243464
229	13.12395714
230	13.1236528
231	13.12338771
232	13.12300301
233	13.12277105
234	13.12237867
235	13.12211942
236	13.12152151
237	13.12119413
238	13.12100649
239	13.12071474
240	13.12037522
241	13.12017078
242	13.11977373
243	13.11940239
244	13.11881907
245	13.11858819
246	13.11835108
247	13.1180328
248	13.11767338
249	13.11720306
250	13.11681858
251	13.11648222
252	13.11620454
253	13.11587369
254	13.11553887
255	13.11505515
256	13.11470416
257	13.11433996
258	13.11377441
259	13.11340435
260	13.11313401
261	13.11250755
262	13.11224674
263	13.11196724
264	13.11171888
265	13.11141229
266	13.11115676
267	13.11053497
268	13.11020145
269	13.10994217
270	13.10964762
271	13.10926465
272	13.10901215
273	13.10881039
274	13.10840617
275	13.10796734
276	13.1076168
277	13.1072323
278	13.10697243
279	13.10655045
280	13.10619867
281	13.10581524
282	13.10550622
283	13.10519822
284	13.10486962
285	13.10444809
286	13.10419769
287	13.10386807
288	13.10347167
289	13.10315584
290	13.10251659
291	13.10202396
292	13.10176278
293	13.10125418
294	13.10081903
295	13.10049348
296	13.10015041
297	13.09988101
298	13.09947058
299	13.09920747
300	13.09900089
301	13.09845049
302	13.09819413
303	13.09784465
304	13.09756343
305	13.09728234
306	13.09699821
307	13.09625345
308	13.09593799
309	13.09567285
310	13.09540361
311	13.09510613
312	13.09490031
313	13.09458158
314	13.09427383
315	13.09403025
316	13.09362897
317	13.09335366
318	13.0930233
319	13.09256746
320	13.09228593
321	13.09198612
322	13.09168758
323	13.09122884
324	13.09094633
325	13.09066963
326	13.09032471
327	13.09008289
328	13.08961748
329	13.08915286
330	13.08892853
331	13.088677
332	13.08835979
333	13.08806498
334	13.08766153
335	13.08729028
336	13.08682057
337	13.08658994
338	13.08632087
339	13.08602303
340	13.08577926
341	13.08551754
342	13.08527636
343	13.08501019
344	13.08450882
345	13.08418699
346	13.08392645
347	13.08366371
348	13.08345976
349	13.08301477
350	13.08280973
351	13.08226205
352	13.08190716
353	13.08165676
354	13.08148292
355	13.0812649
356	13.08091673
357	13.08051757
358	13.08022089
359	13.07997163
360	13.07958714
361	13.07942975
362	13.07918796
363	13.07887864
364	13.07860346
365	13.07837621
366	13.07800373
367	13.07771553
368	13.07743278
369	13.0770708
370	13.07666693
371	13.07595957
372	13.07552761
373	13.07485253
374	13.07459165
375	13.07411336
376	13.07383758
377	13.07369611
378	13.07345031
379	13.07310189
380	13.07289007
381	13.07255651
382	13.07230551
383	13.07196713
384	13.0717157
385	13.07141823
386	13.07098657
387	13.07071857
388	13.0702712
389	13.06989304
390	13.06958093
391	13.06937393
392	13.0691159
393	13.06890161
394	13.06840027
395	13.06804269
396	13.06749777
397	13.06714697
398	13.06688864
399	13.06650899
400	13.06630767
401	13.06614003
402	13.06557707
403	13.06525144
404	13.0649411
405	13.06468817
406	13.06445746
407	13.06430677
408	13.06386755
409	13.06368345
410	13.06334374
411	13.06297255
412	13.06270158
413	13.06239197
414	13.06207983
415	13.06186568
416	13.06128149
417	13.06105997
418	13.06077991
419	13.06060023
420	13.06034551
421	13.06002069
422	13.05973962
423	13.05936189
424	13.05889857
425	13.05860525
426	13.0584382
427	13.0582916
428	13.05800288
429	13.05778951
430	13.05733685
431	13.05704468
432	13.05691392
433	13.05667424
434	13.05624389
435	13.05595752
436	13.05562798
437	13.05539774
438	13.05506392
439	13.05479716
440	13.05459207
441	13.05434508
442	13.05405824
443	13.05377697
444	13.05345002
445	13.05319963
446	13.0529172
