iter	Passed	Remaining
0	38	5449
1	81	5673
2	118	5502
3	160	5529
4	198	5432
5	252	5715
6	293	5653
7	336	5643
8	376	5569
9	417	5507
10	458	5463
11	501	5435
12	545	5408
13	586	5366
14	629	5327
15	672	5294
16	714	5255
17	759	5233
18	798	5171
19	841	5132
20	881	5080
21	918	5007
22	958	4958
23	995	4895
24	1028	4812
25	1071	4780
26	1109	4727
27	1156	4708
28	1199	4674
29	1238	4623
30	1281	4588
31	1323	4551
32	1366	4512
33	1406	4467
34	1452	4440
35	1494	4400
36	1531	4345
37	1589	4351
38	1642	4337
39	1679	4282
40	1715	4226
41	1747	4160
42	1780	4099
43	1819	4053
44	1853	3994
45	1899	3963
46	1942	3925
47	1986	3890
48	2021	3837
49	2062	3795
50	2107	3759
51	2155	3730
52	2198	3691
53	2238	3648
54	2281	3608
55	2322	3567
56	2370	3535
57	2405	3484
58	2452	3449
59	2487	3399
60	2520	3346
61	2551	3292
62	2590	3249
63	2637	3213
64	2677	3172
65	2717	3128
66	2757	3086
67	2801	3049
68	2840	3005
69	2877	2960
70	2919	2919
71	2958	2876
72	2998	2834
73	3036	2790
74	3075	2747
75	3113	2703
76	3150	2659
77	3193	2620
78	3235	2580
79	3279	2541
80	3324	2503
81	3370	2466
82	3408	2423
83	3453	2384
84	3501	2347
85	3540	2305
86	3583	2265
87	3622	2223
88	3667	2183
89	3731	2156
90	3782	2120
91	3827	2080
92	3872	2040
93	3911	1997
94	3949	1953
95	3991	1912
96	4035	1871
97	4065	1825
98	4096	1779
99	4134	1736
100	4172	1693
101	4210	1651
102	4249	1608
103	4290	1567
104	4330	1526
105	4370	1484
106	4421	1446
107	4460	1404
108	4501	1362
109	4544	1322
110	4586	1280
111	4626	1239
112	4676	1200
113	4716	1158
114	4759	1117
115	4795	1074
116	4845	1035
117	4884	993
118	4926	952
119	4963	910
120	5002	868
121	5041	826
122	5079	784
123	5125	744
124	5168	702
125	5213	662
126	5257	620
127	5296	579
128	5341	538
129	5383	496
130	5431	456
131	5468	414
132	5520	373
133	5563	332
134	5606	290
135	5648	249
136	5688	207
137	5731	166
138	5772	124
139	5804	82
140	5844	41
141	5881	0
